fighter_url,fight_url,referee,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Rev.,Ctrl
http://ufcstats.com/fighter-details/6747ccd6d1acd266,http://ufcstats.com/fight-details/43bbaf06603b0f0c,Jason Herzog,1,14 of 32,43%,14 of 32,0 of 0,---,0,0,0:01
http://ufcstats.com/fighter-details/764d39074a352e33,http://ufcstats.com/fight-details/43bbaf06603b0f0c,Jason Herzog,0,19 of 34,55%,19 of 35,1 of 1,100%,0,0,0:08
http://ufcstats.com/fighter-details/809bd1a871491508,http://ufcstats.com/fight-details/e97e71a593e4c28d,Jason Herzog,0,54 of 69,78%,69 of 90,0 of 0,---,1,1,1:00
http://ufcstats.com/fighter-details/38c626ca912c7bac,http://ufcstats.com/fight-details/e97e71a593e4c28d,Jason Herzog,0,4 of 13,30%,4 of 13,1 of 2,50%,0,0,0:08
http://ufcstats.com/fighter-details/a9e260472d321361,http://ufcstats.com/fight-details/91bf33ada75d6061,Mark Smith,0,56 of 105,53%,164 of 229,3 of 5,60%,0,0,7:11
http://ufcstats.com/fighter-details/cc8c623cca88f54f,http://ufcstats.com/fight-details/91bf33ada75d6061,Mark Smith,0,37 of 72,51%,41 of 76,0 of 0,---,1,0,0:00
http://ufcstats.com/fighter-details/fb37795db81f93f3,http://ufcstats.com/fight-details/750257171ad29a2c,Kerry Hatley,0,46 of 66,69%,59 of 86,3 of 8,37%,0,0,4:18
http://ufcstats.com/fighter-details/11583163f45c7b31,http://ufcstats.com/fight-details/750257171ad29a2c,Kerry Hatley,0,34 of 52,65%,47 of 71,0 of 1,0%,0,1,2:13
http://ufcstats.com/fighter-details/3329d692aea4dc28,http://ufcstats.com/fight-details/984ce1062186f3ce,Chris Tognoni,0,44 of 87,50%,52 of 103,1 of 1,100%,0,0,0:57
http://ufcstats.com/fighter-details/f41b9f5efc7162d6,http://ufcstats.com/fight-details/984ce1062186f3ce,Chris Tognoni,0,69 of 123,56%,69 of 123,0 of 1,0%,0,0,0:00
http://ufcstats.com/fighter-details/275aca31f61ba28c,http://ufcstats.com/fight-details/daef1691c7d6b1e4,Herb Dean,0,6 of 19,31%,18 of 31,1 of 2,50%,1,0,1:27
http://ufcstats.com/fighter-details/b6452706b373eea1,http://ufcstats.com/fight-details/daef1691c7d6b1e4,Herb Dean,0,9 of 27,33%,18 of 37,0 of 0,---,0,0,0:00
http://ufcstats.com/fighter-details/c03520b5c88ed6b4,http://ufcstats.com/fight-details/f39941b3743bf18c,Jason Herzog,0,111 of 259,42%,142 of 293,7 of 30,23%,0,0,2:22
http://ufcstats.com/fighter-details/2b6fc1c02736833d,http://ufcstats.com/fight-details/f39941b3743bf18c,Jason Herzog,0,104 of 237,43%,113 of 246,2 of 15,13%,0,0,1:37
http://ufcstats.com/fighter-details/009341ed974bad72,http://ufcstats.com/fight-details/959fea398ffa5778,Mike Beltran,2,97 of 165,58%,101 of 170,0 of 0,---,0,0,0:22
http://ufcstats.com/fighter-details/5444c5a201d3ee5a,http://ufcstats.com/fight-details/959fea398ffa5778,Mike Beltran,0,81 of 177,45%,84 of 180,0 of 0,---,0,0,0:00
http://ufcstats.com/fighter-details/41e83a89929d1327,http://ufcstats.com/fight-details/54d48b33e7240452,Jason Herzog,0,23 of 31,74%,36 of 49,1 of 1,100%,0,1,1:48
http://ufcstats.com/fighter-details/e2f6b2769aaedd6c,http://ufcstats.com/fight-details/54d48b33e7240452,Jason Herzog,0,15 of 28,53%,34 of 47,1 of 1,100%,0,1,2:08
http://ufcstats.com/fighter-details/3a46b268013afede,http://ufcstats.com/fight-details/69d63c057aebffaf,Frank Trigg,0,11 of 13,84%,27 of 32,0 of 0,---,0,0,0:00
http://ufcstats.com/fighter-details/d549cefc7c54ab78,http://ufcstats.com/fight-details/69d63c057aebffaf,Frank Trigg,0,12 of 21,57%,26 of 35,2 of 2,100%,1,0,3:25
http://ufcstats.com/fighter-details/6e743a33d56bdaa4,http://ufcstats.com/fight-details/d14f98b24691d082,Herb Dean,0,49 of 84,58%,59 of 95,1 of 1,100%,0,0,1:25
http://ufcstats.com/fighter-details/b9f28e7045fdfce7,http://ufcstats.com/fight-details/d14f98b24691d082,Herb Dean,0,62 of 85,72%,91 of 115,8 of 15,53%,2,0,9:43
http://ufcstats.com/fighter-details/23dec7c47cb418f8,http://ufcstats.com/fight-details/938081fae11dcbbf,Blake Grice,0,13 of 24,54%,22 of 35,0 of 0,---,0,0,0:00
http://ufcstats.com/fighter-details/3bc3f60b21cddc6a,http://ufcstats.com/fight-details/938081fae11dcbbf,Blake Grice,0,21 of 26,80%,52 of 59,1 of 2,50%,0,0,2:14
http://ufcstats.com/fighter-details/ef5dcb10d2bd4b0f,http://ufcstats.com/fight-details/a6db8eb1fb3eebf2,Mike Beltran,0,47 of 71,66%,59 of 85,0 of 0,---,2,1,1:24
