fighter_url,fight_url,referee,significant_strikes_landed,significant_strikes_attempted,significant_strike_accuracy,head_strikes_landed,head_strikes_attempted,body_strikes_landed,body_strikes_attempted,leg_strikes_landed,leg_strikes_attempted,distance_strikes_landed,distance_strikes_attempted,clinch_strikes_landed,clinch_strikes_attempted,ground_strikes_landed,ground_strikes_attempted,total_strikes_landed,total_strikes_attempted,takedowns_landed,takedowns_attempted,takedown_accuracy,knockdowns,submission_attempts,reversals,control_time_seconds,significant_strike_accuracy_opponent
37f560436d745c18,7513a00037094075,Lukasz Bosacki,66,157,0.42,46,136,16,16,4,5,54,135,12,22,0,0,76,168,0,0,,1,0,0,16,0.42
8d11d9c13e2ccdf7,19764211af05674c,Marc Goddard,18,54,0.33,11,45,3,3,4,6,16,50,2,4,0,0,70,119,1,3,0.33,0,1,0,173,0.33
fb37795db81f93f3,19764211af05674c,Marc Goddard,31,64,0.48,7,30,14,19,10,15,18,46,13,18,0,0,49,88,3,10,0.3,0,0,0,309,0.48
4a07b1988477502c,e512b80bbaea36c2,Herb Dean,33,61,0.54,25,51,5,6,3,4,14,32,3,6,16,23,80,127,6,9,0.66,0,1,0,615,0.54
6b56e94a59b7b134,e512b80bbaea36c2,Herb Dean,10,31,0.32,2,20,6,8,2,3,9,30,1,1,0,0,19,40,0,2,0.0,0,0,0,104,0.32
6a96ad1bc34fb113,5fcf18bcd2a020f1,Lukasz Bosacki,76,153,0.49,44,104,25,39,7,10,67,132,8,17,1,4,84,164,1,2,0.5,0,0,0,85,0.49
285ae0b4a68221f4,5fcf18bcd2a020f1,Lukasz Bosacki,45,109,0.41,41,102,4,7,0,0,38,96,4,10,3,3,92,187,2,8,0.25,0,1,0,399,0.41
07047eb7d17fb0a2,fff3218758c513b8,Rich Mitchell,99,223,0.44,67,172,32,51,0,0,98,220,1,3,0,0,103,228,0,0,,0,0,0,0,0.44
bd532e9a2b93870c,fff3218758c513b8,Rich Mitchell,64,148,0.43,43,124,12,14,9,10,61,144,3,3,0,1,77,165,3,6,0.5,0,0,0,175,0.43
103e2e33a60683e1,2bfc0212f2cae65b,Lukasz Bosacki,63,178,0.35,35,121,16,31,12,26,58,170,5,8,0,0,74,200,0,0,,0,0,0,103,0.35
